GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "02000","Alaska",8,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",40958700,42979048,42355306,44055010,45657067,49190165,51720973,51252097,56215136,54601512,55280318,58283630,55354302,54188237,54740850,54246627,54129532,53249592,53336499,50160992
 "02000","Alaska",8,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",32605468,34314875,33494409,35166599,36583073,40008375,42518014,41977080,46625005,44957895,45292535,48039341,45543734,44406554,45235492,44496041,44334805,43294478,43586726,40258817
 "02000","Alaska",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",449725,413058,461534,399177,446707,469687,406683,470394,476888,547051,623165,550886,541792,498989,470541,394277,394890,385710,403230,367756
 "02000","Alaska",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",8615196,11491090,8728626,10098626,10619088,13763655,15402068,14264641,18565313,15542248,15927531,18303229,15529455,13976074,13926132,13309716,13505091,12290944,12593427,11859372
 "02000","Alaska",8,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",488841,497420,485500,519440,497666,522400,522350,563867,569251,631528,722073,745392,728873,701109,678266,725893,716414,711734,725686,780076
 "02000","Alaska",8,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",2255177,2321378,2463298,2464482,2456328,2250657,2218071,2150933,2220231,2228054,2104739,2012584,1929212,2005275,2125125,1990603,1892072,1919412,1938198,1842231
 "02000","Alaska",8,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",1656431,1674219,1855452,1965331,1743436,1828265,1962245,1875241,1870108,1322518,1043414,992043,1354833,1628740,1881100,1762654,1915498,1394470,1526400,1444172
 "02000","Alaska",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",122715,122820,141465,149676,166320,166516,186640,195234,191742,178728,167791,200345,204456,209188,236879,224027,204933,190113,196202,181738
 "02000","Alaska",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",1574388,1593411,1756529,1860832,1601507,1690195,1803630,1702342,1701712,1148373,876544,791699,1152938,1426161,1652560,1545807,1729366,1210290,1339192,1272038
 "02000","Alaska",8,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",956823,970499,996235,1060290,1117939,1166636,1232961,1252498,1084872,1177589,1183072,1166914,1221056,1227326,1230692,1221889,1204392,1259238,1308489,1217191
 "02000","Alaska",8,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",1976116,2119613,2209763,2117702,2174823,2124958,2074779,2042823,2073590,2110388,2079125,2043636,2051831,2072359,2157539,2164833,2177905,2240762,2312049,2234056
 "02000","Alaska",8,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",5231322,4236460,4364005,4541619,4535332,4639639,5098629,5714918,5166027,5850927,5230863,5458086,5223081,5235371,5470377,5740082,5854033,5956619,5766024,5192069
 "02000","Alaska",8,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",647692,703723,746839,847163,968068,1008595,1062792,1131422,1065108,1113680,1154628,1179212,1272251,1312723,1497956,1481855,1451675,1300350,1292916,1276405
 "02000","Alaska",8,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",4366226,4530705,4742287,4681932,5303499,5127096,5217757,5041712,5484831,5803754,6190908,6207701,6209063,6270591,6088130,6030555,5735982,5818011,5713313,5456415
 "02000","Alaska",8,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",1039875,1096407,1219674,1068407,1340298,1172036,1113156,1049986,1283933,1148982,1195950,1187887,1151389,1211156,1151345,1047449,1081576,1051965,1013628,964862
 "02000","Alaska",8,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",3319581,3426256,3508432,3613921,3950171,3955665,4113866,4002776,4213236,4655520,4995079,5019815,5058124,5057952,4936924,4991719,4651055,4771423,4709433,4501572
 "02000","Alaska",8,CAGDP9,59,"54, 55, 56","  Professional and business services","Thousands of chained 2012 dollars",2297258,2366194,2364326,2408828,2502853,2553490,2712922,3022931,3125230,3350040,3477456,3534169,3533944,3516000,3464839,3137858,3090062,3002066,3076647,2811438
 "02000","Alaska",8,CAGDP9,60,"54","   Professional, scientific, and technical services","Thousands of chained 2012 dollars",1288428,1376897,1394596,1441214,1473143,1478219,1570775,1805513,1857036,1967431,2082433,2103803,2108021,2100008,2047790,1829547,1792877,1737162,1758371,1588896
 "02000","Alaska",8,CAGDP9,64,"55","   Management of companies and enterprises","Thousands of chained 2012 dollars",405430,355905,287320,267634,254731,303272,288144,302114,309968,333061,338529,358528,361456,373220,381865,359351,369350,372856,405108,376145
 "02000","Alaska",8,CAGDP9,65,"56","   Administrative and support and waste management and remediation services","Thousands of chained 2012 dollars",640209,658049,689080,702392,772485,773966,854141,915535,958308,1049358,1056526,1071838,1064489,1043262,1035969,949757,929833,895621,919240,851625
 "02000","Alaska",8,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance","Thousands of chained 2012 dollars",2092060,2230967,2411051,2590929,2643293,2720827,2726163,2872707,3024621,3160753,3375351,3492480,3602150,3571021,3714971,3848308,3950159,4100348,4175526,3934643
 "02000","Alaska",8,CAGDP9,69,"61","   Educational services","Thousands of chained 2012 dollars",169226,175179,175891,178805,169686,170525,167298,166611,171917,181690,181576,181975,182714,176601,176147,176921,175477,170685,173061,142947
 "02000","Alaska",8,CAGDP9,70,"62","   Health care and social assistance","Thousands of chained 2012 dollars",1927872,2060407,2238402,2414461,2474823,2551268,2559626,2706436,2852935,2979368,3193819,3310504,3419484,3394598,3539338,3672211,3775904,3931773,4004677,3795583
 "02000","Alaska",8,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of chained 2012 dollars",1361640,1460583,1502547,1524013,1503941,1541165,1563053,1658447,1517546,1534493,1538482,1573337,1598877,1638015,1669058,1631292,1561100,1568350,1564788,970568
 "02000","Alaska",8,CAGDP9,76,"71","   Arts, entertainment, and recreation","Thousands of chained 2012 dollars",165710,177868,190974,201793,209622,205757,220568,224282,220391,230073,254337,264907,286680,284114,277183,280546,284831,288646,304374,168560
 "02000","Alaska",8,CAGDP9,79,"72","   Accommodation and food services","Thousands of chained 2012 dollars",1197664,1284570,1313055,1323196,1294631,1336234,1342753,1434769,1297405,1304618,1284169,1308431,1312310,1353858,1391544,1350710,1276933,1280513,1262303,802040
 "02000","Alaska",8,CAGDP9,82,"81","  Other services (except government and government enterprises)","Thousands of chained 2012 dollars",883168,929223,880687,866718,864128,856667,829390,791595,783942,783981,763029,779670,785016,803656,791021,763894,755819,762865,747706,660841
 "02000","Alaska",8,CAGDP9,83,"...","Government and government enterprises","Thousands of chained 2012 dollars",8479270,8798340,8985653,9017073,9200221,9264133,9248886,9345516,9596712,9644882,9996872,10244289,9811002,9781196,9535860,9724344,9757957,9875746,9701773,9719118
 "02000","Alaska",8,CAGDP9,87,"11, 21","Natural resources and mining","Thousands of chained 2012 dollars",9087978,11803196,9193394,10474335,11040843,14217083,15807602,14710166,19027726,16084471,16540637,18854116,16070919,14475053,14390006,13642370,13832480,12631100,12955497,12175464
 "02000","Alaska",8,CAGDP9,88,"42, 44-45","Trade","Thousands of chained 2012 dollars",2941167,3102705,3220218,3184812,3298211,3293618,3305778,3291834,3158673,3287981,3262194,3210550,3272996,3299771,3388166,3386579,3381701,3500116,3621182,3449654
 "02000","Alaska",8,CAGDP9,89,"22, 48-49","Transportation and utilities","Thousands of chained 2012 dollars",5697141,4728402,4840826,5054042,5022341,5153812,5602637,6255377,5724297,6467851,5953206,6203478,5951800,5936194,6147536,6464388,6570337,6669253,6489915,5959027
 "02000","Alaska",8,CAGDP9,90,"31-33, 51","Manufacturing and information","Thousands of chained 2012 dollars",2133654,2229416,2422215,2644663,2627438,2747144,2925415,2928176,2847564,2415490,2196608,2171255,2626080,2938723,3376020,3241956,3365592,2677025,2809416,2708477
 "02000","Alaska",8,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2012 dollars",12670436,15164285,13166947,14507930,14892144,18028956,19728910,18464715,22938326,19535321,19650522,21858744,19339001,18081384,18496768,17463454,17652944,15974739,16458605,15530367
 "02000","Alaska",8,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2012 dollars",20073025,19940836,20618671,21080653,22127922,22257624,23009720,24018157,23887423,25491944,25714723,26180597,26220500,26340944,26742832,26745348,26493475,26750289,26676730,24452352
 "02013","Aleutians East Borough, AK",8,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",184075,140035,164578,202213,195631,190463,207402,219869,217522,133768,123780,121554,136629,135618,197359,214427,225524,196977,211829,190988
 "02013","Aleutians East Borough, AK",8,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",162992,119513,144750,182381,176268,172106,188419,200280,197551,114554,104035,100544,116379,113986,177856,193753,205267,176029,190883,170126
 "02013","Aleutians East Borough, AK",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",(D),(D),(D),(D),(D),(D),(D),13089,(D),(D),(D),12593,12693,8908,11959,(D),(D),(D),(D),(D)
 "02013","Aleutians East Borough, AK",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "02013","Aleutians East Borough, AK",8,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",428,517,398,508,464,683,1064,866,1991,887,742,2685,1193,1099,1133,1102,1074,1238,1369,1062
 "02013","Aleutians East Borough, AK",8,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",38892,22872,(D),(D),61033,(D),(D),72488,52390,151,132,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "02013","Aleutians East Borough, AK",8,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",(D),(D),59941,67507,(D),87259,87424,89852,(D),(D),(D),(D),(D),(D),(D),159202,166584,141124,156812,139175
 "02013","Aleutians East Borough, AK",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",0,0,0,0,0,0,14,24,33,38,87,63,139,107,62,32,34,18,13,10
 "02013","Aleutians East Borough, AK",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",(D),(D),59946,67512,(D),87265,87412,89829,(D),(D),(D),(D),(D),(D),(D),159172,166552,141107,156802,139167
 "02013","Aleutians East Borough, AK",8,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",1452,1316,1498,1523,1838,1309,1326,1296,1268,1032,(D),43,45,94,51,42,43,57,65,(D)
 "02013","Aleutians East Borough, AK",8,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",2222,2672,2898,2738,2233,(D),(D),(D),1918,1942,2057,2333,2196,2335,2402,2291,1794,1767,1959,2357
 "02013","Aleutians East Borough, AK",8,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",(D),(D),(D),(D),(D),(D),(D),3152,3877,3978,(D),4130,4684,(D),3492,3100,2760,2772,(D),(D)
 "02013","Aleutians East Borough, AK",8,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1234,1226,1197,1089,990,865,715,680
 "02013","Aleutians East Borough, AK",8,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",5068,5225,5313,5485,(D),6354,(D),5794,5102,6205,(D),(D),7091,8130,7486,6754,7312,7255,7441,7365
 "02013","Aleutians East Borough, AK",8,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),25,21,15,8,2,0,0,0
 "02013","Aleutians East Borough, AK",8,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",5074,5232,5320,5492,6397,(D),5685,(D),(D),(D),6870,6171,7065,8106,7469,6745,7310,7255,7441,7365
 "02013","Aleutians East Borough, AK",8,CAGDP9,59,"54, 55, 56","  Professional and business services","Thousands of chained 2012 dollars",(D),(D),(D),(D),(D),2150,1903,(D),(D),1586,1521,1423,1733,1816,2121,2225,2076,2154,1394,1185
 "02013","Aleutians East Borough, AK",8,CAGDP9,60,"54","   Professional, scientific, and technical services","Thousands of chained 2012 dollars",(D),(D),(D),(D),(D),(D),(D),598,406,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
