GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "04000","Arizona",6,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",213166188,220696674,234065873,244317323,262325950,274179439,283250740,280810073,257498454,260307115,266101521,271440034,273481866,276948931,282576987,291275204,302455379,313618734,323894348,320550614
 "04000","Arizona",6,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",180833408,187536258,199768122,209295582,225898768,236699099,245045507,241667049,220361513,222525009,228473258,233709874,236190707,240652344,246511716,254610645,264816557,276295155,286509195,282558048
 "04000","Arizona",6,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",2310247,2621451,2402086,2825168,2989142,2819135,2613170,1962619,1941345,2113642,2432742,1876600,2253411,2178607,2760827,3477910,3222318,3348318,3371575,3895610
 "04000","Arizona",6,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",4071784,3704028,3971753,4619509,5927909,7039102,7256000,6863317,5743358,6614969,7100568,6465660,6202239,6294896,4814911,4293970,5404523,5146941,5075514,4756002
 "04000","Arizona",6,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",4154493,4233075,4177817,4454968,4362486,4807290,5248407,5481855,5267886,5766403,6071690,6220055,6125952,5710935,5684936,6244463,6234085,6005683,6097627,6466987
 "04000","Arizona",6,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",17227448,16942209,17512164,19094275,22037225,23856988,23074610,18428158,12098244,10244194,9910429,9329620,10043531,9891806,10123729,10880784,12016018,13139180,14064553,14517427
 "04000","Arizona",6,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",16400031,17082031,21124894,18773652,18406424,20946324,23683203,23563145,20349568,22321375,23561206,24505228,22112399,23810742,25185658,25919716,28066727,30758556,32213079,30769754
 "04000","Arizona",6,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",12843034,13594954,17363037,15145438,14650214,16681485,18519467,18736618,15586477,17728313,18991258,20395064,18661158,20047683,21078336,21769719,23891589,26394887,27147974,25713566
 "04000","Arizona",6,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",3756795,3501214,3356138,3460816,3711583,4209085,5245489,4808281,4858269,4627860,4586364,4110164,3452990,3763970,4102179,4150567,4201626,4408541,5075014,5047439
 "04000","Arizona",6,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",13346317,13648605,14557057,15460232,16135212,16690346,17908593,17509333,15456548,15743180,15793802,16676310,16200586,16290522,16646779,17232605,17660975,17886538,17496130,18050841
 "04000","Arizona",6,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",16450708,17303464,18598599,19608099,21671202,23228930,22849927,20890413,18926334,19232182,20290511,20235167,20116066,21118682,21432069,22286213,23240396,23974884,24642571,25204502
 "04000","Arizona",6,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",5617178,5753634,6151835,7091946,7757825,8420171,8356858,8038660,7479234,8011064,8028051,8136885,7899779,8310285,8434354,8697577,9156181,9663487,10023737,8579709
 "04000","Arizona",6,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",4975454,5752870,5702473,6043196,6251537,6659701,7038480,7485466,7255323,7377186,7300128,7288423,8257732,9254602,10277585,11425358,13031760,13672918,15828834,16540559
 "04000","Arizona",6,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",45004118,46887468,47645308,50479693,55879874,53040486,55247298,58316696,56152328,55356754,56271428,59679875,61983974,61400992,62461211,63390908,62377771,64600405,67100759,68700524
 "04000","Arizona",6,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",14857883,15025889,15849188,16886324,18317971,14487796,14369907,12908129,14160761,14438436,15946419,18295304,17865283,17456161,18792864,18760034,17652021,18256810,18910682,20877619
 "04000","Arizona",6,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",29683450,31393433,31292167,33052423,36991140,38257810,40636842,45309133,41925008,40881472,40313504,41384571,44130237,43966230,43626790,44618702,44810872,46436257,48296630,47642260
 "04000","Arizona",6,CAGDP9,59,"54, 55, 56","  Professional and business services","Thousands of chained 2012 dollars",21523985,21678974,22817691,24789406,27077591,29239258,30512351,31110755,28430965,28146160,28965556,29540344,30701433,31962721,32731646,33535668,35521895,37304465,38964262,38414170
 "04000","Arizona",6,CAGDP9,60,"54","   Professional, scientific, and technical services","Thousands of chained 2012 dollars",10797077,11097536,11160195,12140860,13210550,14394801,15122282,15751295,14574085,14517027,15272394,15410669,15513822,15876637,16357437,17036945,17902570,19219599,19875602,19431167
 "04000","Arizona",6,CAGDP9,64,"55","   Management of companies and enterprises","Thousands of chained 2012 dollars",2806844,2751993,2983558,3098756,2768007,2934047,3127432,3182924,2951745,2820145,2786964,3051569,3420274,3801652,3812047,3849616,4134630,3806288,4312831,4748665
 "04000","Arizona",6,CAGDP9,65,"56","   Administrative and support and waste management and remediation services","Thousands of chained 2012 dollars",8042207,7949173,8786363,9638816,11087434,11894350,12252359,12169762,10902959,10807286,10906468,11078107,11767824,12289345,12564832,12658557,13492770,14243619,14779309,14320444
 "04000","Arizona",6,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance","Thousands of chained 2012 dollars",14447956,15432226,16720618,18287203,19324440,21044122,21950951,24026882,24779918,25247216,25930207,26221578,26409017,26855136,27849853,28933485,30142564,31332221,32743549,31716715
 "04000","Arizona",6,CAGDP9,69,"61","   Educational services","Thousands of chained 2012 dollars",1443099,1672504,1878423,2291392,2386646,2467450,2558611,2864986,3245595,3550243,3604040,3686064,3499742,3515518,3535985,3552494,3527991,3566971,3752919,3409259
 "04000","Arizona",6,CAGDP9,70,"62","   Health care and social assistance","Thousands of chained 2012 dollars",12954753,13725408,14813842,15992081,16930587,18559624,19373684,21144578,21527137,21697626,22325836,22535514,22911580,23343328,24322967,25397408,26643299,27803077,29027918,28365109
 "04000","Arizona",6,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of chained 2012 dollars",9826177,10145219,10682264,11652376,12696007,13276489,13272635,12024022,11042977,11135826,11599099,12196289,12529925,12122250,12507781,12796432,13610501,14069613,13747335,10875604
 "04000","Arizona",6,CAGDP9,76,"71","   Arts, entertainment, and recreation","Thousands of chained 2012 dollars",2229261,2437743,2609097,2482601,2404759,2383550,2310949,2193966,2110247,2148534,2207598,2564936,2783560,2998588,2908062,3088336,3294210,3324057,3182510,2224338
 "04000","Arizona",6,CAGDP9,79,"72","   Accommodation and food services","Thousands of chained 2012 dollars",7567483,7672168,8034075,9149540,10288729,10898594,10971543,9834412,8934264,8988574,9393237,9631353,9747346,9129608,9601576,9713466,10322383,10747524,10562493,8628755
 "04000","Arizona",6,CAGDP9,82,"81","  Other services (except government and government enterprises)","Thousands of chained 2012 dollars",5552187,5676754,5447638,5559839,5840822,6239418,6215500,5839164,5397767,5197400,5204923,5337840,5318157,5532694,5542081,5530558,5622373,5874124,5928871,5182082
 "04000","Arizona",6,CAGDP9,83,"...","Government and government enterprises","Thousands of chained 2012 dollars",32631372,33416097,34450404,35100983,36412884,37421835,38114394,39104474,37133718,37781051,37627925,37730160,37297187,36334626,36135355,36754308,37745649,37497772,37614770,38172729
 "04000","Arizona",6,CAGDP9,87,"11, 21","Natural resources and mining","Thousands of chained 2012 dollars",6526398,6708674,6597339,7719075,9061499,9944723,9930334,8835278,7675407,8734774,9527342,8342260,8478201,8487201,7642852,7831219,8751290,8591864,8535298,8640175
 "04000","Arizona",6,CAGDP9,88,"42, 44-45","Trade","Thousands of chained 2012 dollars",29787916,30965274,33176715,35084206,37868295,40008935,40792542,38391180,34382044,34974419,36083583,36911478,36315930,37405845,38075762,39515197,40892669,41841856,42073982,43195543
 "04000","Arizona",6,CAGDP9,89,"22, 48-49","Transportation and utilities","Thousands of chained 2012 dollars",9718727,9932187,10270451,11470581,12016527,13119524,13533691,13476719,12718702,13757731,14098063,14356940,14025967,14008088,14104271,14919823,15375892,15663698,16117895,15037440
