GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "15000","Hawaii",8,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",55678452,56990820,59978771,63318118,67123864,68759328,70080384,70460821,67927511,69628097,70646613,71905294,73063236,73512394,75869463,77303858,78941617,79854746,79175387,70625173
 "15000","Hawaii",8,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",42904804,43733093,46267271,49103453,52543188,53876359,55107856,55030942,52464548,54014444,54635143,55798289,57246619,57468195,59834502,60942424,62730233,64132554,63518669,55017316
 "15000","Hawaii",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",547316,639738,622289,550254,646950,702147,510454,517881,709656,638766,568881,532936,499606,488988,593142,602938,620000,542866,513225,562435
 "15000","Hawaii",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",123319,101890,109830,100684,79490,103032,137185,125812,124162,94326,68803,70391,68907,68464,74587,81459,68492,83468,78999,72761
 "15000","Hawaii",8,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",1063691,1034040,1080421,1196234,1169528,1292785,1325877,1508830,1308689,1616507,1895175,2048313,1983323,1860702,1659045,1668405,1671065,1655999,1562738,1575516
 "15000","Hawaii",8,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",3256037,3399606,3772122,4041944,4620483,4646156,4941807,4806153,4277629,3846095,3642911,3649052,3546490,3533693,3926899,4233224,4083772,3944766,3902832,3913277
 "15000","Hawaii",8,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",1507293,1632487,1720787,1631852,1562354,1551200,1543567,1773919,1757418,1540442,1450299,1432587,1595278,1727434,1729660,1824121,1786985,1782976,1631892,1439006
 "15000","Hawaii",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",259720,257958,250188,255120,310876,328622,359415,371198,335818,331654,363527,327188,357402,334019,328216,366730,397667,397768,392599,345878
 "15000","Hawaii",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",1275967,1422265,1536283,1427930,1268482,1231586,1181099,1412885,1443949,1215056,1085960,1105399,1238144,1398640,1407601,1458002,1377020,1372892,1221729,1077542
 "15000","Hawaii",8,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",2110417,2195389,2350858,2386511,2453205,2399201,2477497,2511579,2209201,2269820,2303836,2337622,2407589,2469354,2603827,2581596,2647896,2595403,2613779,2395922
