GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "18000","Indiana",3,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",259474793,265345140,277151611,287655871,290328175,296112718,304085687,300962553,279520734,297517332,299064514,300513880,307279125,316783058,313751163,319601494,325841725,337149634,338350092,329863318
 "18000","Indiana",3,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",230722067,236567007,247966222,258156025,260665893,262878925,274825508,271151757,249957023,268459746,270387411,272337122,280310379,288162774,285333857,290606764,295874990,306678536,307760303,299048284
 "18000","Indiana",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",3197488,3132128,3869054,4302983,3314712,3936825,3895265,4895913,4920221,4429492,4797673,4102847,7059489,5706248,4697442,5451923,5309956,5662976,4361495,6612721
 "18000","Indiana",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",2562883,2378634,2366349,1920470,1676391,1654468,1689755,1530554,1631716,1643479,1676338,1684623,1908275,1799070,1686910,1653444,1729745,1568341,1379299,1273419
 "18000","Indiana",3,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",4688961,4744647,4571720,4888194,4824415,5061103,4858830,5260294,5108555,5912918,6113437,6372432,6371675,6119234,5882254,6267044,6070227,5948944,6130550,6261795
 "18000","Indiana",3,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",14777812,13974296,14219487,14283229,13617074,12707078,12730618,11930281,10022894,9895690,10635730,11941050,11471160,10832012,10908391,11388687,12188286,12483966,12754728,12520773
 "18000","Indiana",3,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",66437680,71938674,76944974,82036024,79581047,79621383,91671388,90200657,74414916,88264248,86596294,82808012,88099476,91339741,85776355,87679122,88676116,92681831,92003926,90345600
 "18000","Indiana",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",34074224,37514791,41126984,41928045,42238516,42562505,47361523,43714499,31692544,45372815,44840279,45902815,47522508,47959053,50230990,51430653,52022910,54915735,54623907,52941204
 "18000","Indiana",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",32149276,33821109,34606714,39880635,36289818,35864592,43603325,46785077,44041967,43016730,41836856,36905197,40580742,43389327,35495962,36196888,36599794,37722837,37340916,37349310
 "18000","Indiana",3,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",14847684,15265200,15790452,16144891,16909514,17174135,17467506,17789613,15428899,16409342,16923855,17380966,17662566,18112629,18822709,18506371,18505422,19379135,19032499,18814398
 "18000","Indiana",3,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",16028048,16551327,17618561,17832203,18228148,18106112,17292806,16957749,16571943,16931101,16954308,16836129,17185121,17440561,17924695,18868559,19069366,19453724,19406225,19240862
 "18000","Indiana",3,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",8495794,8278431,8620150,9045211,9755890,10549650,10249361,10098845,9246830,9712612,9853407,9997014,10025896,10211742,10240616,10369459,10855451,11013253,11044859,10719340
 "18000","Indiana",3,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",3783285,4106263,4454621,5150658,5505483,5680080,6056675,6444646,6234298,6236551,6033371,6307996,6683904,6619120,6767926,6905057,7062217,6997019,7052886,6814712
 "18000","Indiana",3,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",40218494,38877041,40840056,41840086,44771377,44486478,45749131,40913201,43206362,43941454,44247461,46045533,44040019,48420404,49108523,48235393,48915238,51014714,52380345,51056324
 "18000","Indiana",3,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",13119284,12820842,13502886,14107934,14401196,14712648,15939438,12553672,14832557,14319691,14147231,14704717,12279075,16828351,17868266,17583265,17265166,17931851,18874744,17666627
 "18000","Indiana",3,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",27082682,26039088,27318382,27700098,30369930,29753252,29749010,28348459,28413886,29626495,30100178,31340816,31769447,31528979,31156087,30568710,31576533,33008605,33412513,33320690
