GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "25000","Massachusetts",1,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",362663822,362581603,369007385,379086128,386803453,395535843,406421172,414919890,407219554,425792732,434494533,442916912,444874027,451568915,468060913,475349007,484413790,502954287,517727089,498576980
 "25000","Massachusetts",1,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",317853623,317643166,324250210,334118787,341409614,349641346,359428292,367042072,359788476,378853709,385414643,396203918,398004318,404479165,420680258,428432057,436903061,454694960,469405738,451976547
 "25000","Massachusetts",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",888360,958070,943498,927937,1055454,1273946,1066712,1072742,1254991,1359726,1093876,1078775,901728,708849,784410,757576,784063,776287,814363,786940
 "25000","Massachusetts",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",443319,396047,378022,373330,263807,255666,358320,187537,204799,174651,159316,159362,176836,212574,270416,341879,238525,221827,274023,265383
 "25000","Massachusetts",1,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",4374692,3933582,4028317,4011327,3964653,4917295,5073352,6081217,4402116,5278475,5409590,5364902,5663146,5443602,5561499,5457421,6310666,6723166,7149027,7440224
 "25000","Massachusetts",1,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",20146137,19581165,18795329,18742618,18017764,16720487,15737063,14497221,12902396,12562546,12872963,13725461,14180731,14084664,14929699,15509271,16162031,16611277,16869422,15849252
 "25000","Massachusetts",1,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",29529185,30412679,34865401,34614862,35688762,39366251,44741466,43181514,40846307,45868548,46216972,46677383,46205311,48238030,49447413,48611506,48286893,51478947,52035047,51305934
 "25000","Massachusetts",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",17583110,17874758,21453655,21489223,22448940,24535862,28311946,27617414,25833306,30877605,32200485,32404406,31092916,31415625,32494471,33116821,33151260,34499921,34799093,33503703
 "25000","Massachusetts",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",13017374,13869166,14086753,13647771,13576643,15332755,16794243,15811811,15307189,15072856,14013844,14272977,15106055,16787846,16934019,15572763,15239122,16989224,17237193,17709613
 "25000","Massachusetts",1,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",22953601,22147567,23543148,24000774,23268909,24195666,24681708,25066430,22801062,23605637,23544772,22991188,23571323,24166135,25207796,25445824,25538022,24678525,24105297,24013994
 "25000","Massachusetts",1,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",18558606,19266581,20370642,20986732,21065963,20177271,19059990,18463436,18125161,18667373,18320963,17948412,18321497,18565256,19389326,20343102,21041720,21899781,23054308,21485562
 "25000","Massachusetts",1,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",6199265,6278962,6571623,7075079,7337268,7182641,7302909,7081364,6736229,7019086,7346553,7183040,7270020,7589758,7892991,8252074,8706319,8971738,9570388,7291013
 "25000","Massachusetts",1,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",13500898,14636989,14381410,16724236,18423320,18514645,20035694,22854310,21696095,24275010,24895101,24319399,25236184,25525216,27606379,29049458,30453193,32886549,35172760,37639918
 "25000","Massachusetts",1,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",85581890,83267810,80874283,82738323,84865374,86111499,86759429,86564104,92015830,94881905,95811071,101880643,100236138,98225824,100732867,101434459,100185638,104010927,105865690,106242539
 "25000","Massachusetts",1,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",37878598,35879637,34296684,34530149,34330665,35260875,34046299,29085937,38010047,36008872,35080028,40933659,38203986,36765230,40594111,40646729,39829683,41910173,41788924,43003893
 "25000","Massachusetts",1,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",47470791,47135287,46319436,47944666,50280504,50582348,52500506,57398048,54274209,58875351,60687279,60946984,62064878,61533189,59979444,60653568,60260177,61915722,64042100,63016796
