GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "24000","Maryland",2,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",261532899,270468358,278332027,290284609,301660640,305794065,306755830,314757562,311342204,325369659,332437229,332523489,334268912,339604626,348151781,360081957,366680527,368643905,369623938,353052548
 "24000","Maryland",2,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",204406060,210718119,218173575,229506060,239453654,242641661,242900912,249353495,244880614,256998553,262204843,262556036,264324024,269146288,277125279,288200116,293676066,295870005,296251468,278221635
 "24000","Maryland",2,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",1103702,910316,941569,1137813,1198545,1234158,959849,1040221,1299925,1071067,972030,1037943,1207458,1163998,1178176,1253533,1372640,1218222,1300923,1092167
 "24000","Maryland",2,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",556974,555340,552478,575065,550094,570114,560183,438975,236630,421482,316594,292545,259229,259343,294193,269484,287843,256873,330591,275549
 "24000","Maryland",2,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",3660194,3673767,3897850,4555264,4082052,4552289,5495468,5442441,5249176,6453104,6513611,6110791,5805336,5553008,5988125,6382104,6647630,6591342,6182944,6290429
 "24000","Maryland",2,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",18435756,17967092,18134462,19221931,18524764,17759883,16980888,16061331,14391486,13785735,13899701,14168480,14600046,15205892,16015386,17580836,18823433,18514481,18379567,17753525
 "24000","Maryland",2,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",15185035,15874526,15222532,16383467,15933186,17083036,18434000,19091196,19468874,20688293,20304132,18204715,19268006,19073834,19053590,20375099,20948706,21778138,22861954,23091610
 "24000","Maryland",2,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",4851634,5568113,5715353,6185310,6148288,6444849,6921149,8543330,8381399,8795865,9286888,8427152,8723030,8697524,8835716,9749336,10325347,11578086,12175382,11998744
 "24000","Maryland",2,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",11361567,11001873,9908412,10607241,10100739,11056607,11979829,10520116,11131437,11954494,11020108,9777563,10544446,10376684,10224293,10651175,10672340,10331613,10826756,11209617
 "24000","Maryland",2,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",14053389,14223440,15108266,15878475,16512494,16491139,16524202,16443922,14507502,15116613,15060134,15133511,15243208,15610034,16317340,16210331,16290000,16293474,16304313,15910935
