GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "23000","Maine",1,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",49471041,50910381,52209846,54256020,54926899,55448427,55359883,54653883,53630103,54304997,53789004,53679731,53239095,54037877,54425793,55565364,56662582,58178846,59433938,58757344
 "23000","Maine",1,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",41898363,43176440,44331585,46280947,46913841,47415970,47354307,46587010,45700505,46478347,46297621,46325365,45974904,46676596,47152555,47998961,49220453,50784723,51957167,51269672
 "23000","Maine",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",1201215,1140600,1129578,1019944,1044429,1121780,916110,899969,965544,994896,877940,853010,818775,841454,1008585,996713,972900,953659,955198,1003477
 "23000","Maine",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",25967,24434,21476,22144,16066,15725,18255,26144,18854,20992,20204,31956,37268,32037,44630,45248,54966,63781,47098,67668
 "23000","Maine",1,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",915865,869778,786328,830444,826948,907352,965885,970948,868397,942586,920798,945538,943705,889823,854692,895152,895178,879715,855915,892599
 "23000","Maine",1,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",3145797,3072466,3201065,3247211,3005256,2775724,2569548,2321440,2255920,2231215,2102902,1984590,1808218,1751531,1712112,1694214,1710038,1737262,1736929,1736771
 "23000","Maine",1,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",5141421,5002919,5069293,5598330,5704908,5832884,6077598,6026551,5664683,5809254,5568741,5446770,5255158,5290616,5052295,5303185,5670970,5796061,6000875,5830165
 "23000","Maine",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",2080000,2025444,2113283,2432257,2488252,2468222,2493690,2575902,2555773,2785669,2775878,2499480,2680279,2695017,2659011,2770372,2892510,3086868,3002261,2664432
 "23000","Maine",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",3120370,3034441,2996412,3179295,3226938,3396922,3635753,3483724,3123025,3025500,2791431,2947290,2573110,2593860,2391052,2530545,2776165,2707251,2997149,3170172
 "23000","Maine",1,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",2684902,2788235,3012544,3136652,3112127,3170465,3175312,3081056,2773165,2894295,2864407,2957753,2992929,3097889,3205571,3228351,3195511,3230702,3181228,3183745
 "23000","Maine",1,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",4438438,4697661,4984310,5087674,5071264,5034914,4737907,4633480,4490885,4503750,4389239,4289646,4351827,4413838,4601781,4694104,4843244,5012288,5152186,5114322
 "23000","Maine",1,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",1097182,1090084,1130443,1183743,1232682,1356474,1320187,1296296,1259761,1280967,1226903,1184974,1192548,1218800,1210941,1210842,1250298,1218614,1209805,1115581
 "23000","Maine",1,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",935531,1040939,1113516,1185572,1257661,1206796,1177503,1195422,1195574,1264084,1128194,1034494,1088859,1043619,1151761,1253160,1230510,1375969,1383498,1336590
