GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "26000","Michigan",3,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",425103178,436802225,443652165,448888288,457137714,449853467,446943163,420973963,383140065,404216855,414834359,422691167,428737594,434313156,443831225,452325219,457764899,467830448,467300231,445682592
 "26000","Michigan",3,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",369484909,380736134,387871185,393975545,401612632,395660614,394073742,368124820,331436683,352366447,364982559,374086716,381298393,388030731,397214393,406288158,411208269,421898715,421466434,401369488
 "26000","Michigan",3,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",2534655,2861813,2767962,3265076,3447167,4122167,3324020,3366095,3468671,3777983,4245211,3260917,3789280,3620074,3942449,4019655,4139164,4310004,3755507,5319631
 "26000","Michigan",3,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",1692115,1526147,1440647,1522650,1430003,1680297,1519639,1528882,1546263,1801974,2125802,2076596,2001918,2010962,1926713,1888582,1728976,1630501,1739588,1617195
 "26000","Michigan",3,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",6794046,6818924,6838814,7024593,6760264,7179729,7525074,8005562,7313755,8312136,8565764,9139056,8777461,8233468,8096446,9041999,8907758,8742547,9024533,9603093
 "26000","Michigan",3,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",25286299,23559413,22923857,22925139,21383918,18559933,16535835,14028504,11912147,11918616,11934664,13421183,13685928,13779443,13941871,14174341,14495355,14695115,14037309,13550783
 "26000","Michigan",3,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",74908404,80200142,83192002,80908358,82675666,82568353,86392078,74356952,53740635,68782570,75706298,78323854,83285564,83025556,82660121,84162690,85836595,88215981,86699997,81588937
 "26000","Michigan",3,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",55210891,58637182,61325794,58802915,62110771,60408697,65370269,55692426,36666703,50888056,57860168,61196961,64952058,64700350,63434295,64524520,65240068,67350507,65770031,61445026
 "26000","Michigan",3,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",19867099,22009196,22069354,22720256,20301279,22438793,20737461,18535948,17549052,18010502,17858331,17126893,18333610,18326049,19270909,19688870,20684893,20945900,21017656,20239800
 "26000","Michigan",3,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",26614623,26827505,28177336,28456461,29510709,29168912,29191778,29239184,24899826,26829666,27350222,28183251,28748225,30190596,31061574,31632978,31923573,32227671,31457055,30356836
 "26000","Michigan",3,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",28778161,29338086,30310474,29535178,29527692,28358168,27196024,26600559,26494905,26511885,26455604,25794199,25872010,26120371,26938574,28195768,28907496,30075598,30289968,29073743
