GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "33000","New Hampshire",1,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",57632642,59474556,61892740,64408559,65034353,66628179,66853617,65854104,65023435,67125772,67559125,68498086,69080289,70213718,72042399,73572181,74107318,75534567,77126518,75543120
 "33000","New Hampshire",1,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",50021890,51780052,53954051,56424135,56930117,58414775,58536655,57438492,56845625,58784103,59453767,60570116,61224084,62333767,64368858,65891188,66400324,67917519,69543169,68065148
 "33000","New Hampshire",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",214456,220312,240693,241445,223148,240766,191051,211168,210161,204220,195575,227057,224539,228924,264190,261632,266583,235451,244484,236314
 "33000","New Hampshire",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",107747,141001,139533,125270,117331,133623,153877,118418,82920,77076,49887,67679,58666,72994,81603,124761,104492,189591,183308,125187
 "33000","New Hampshire",1,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",981846,986039,1029823,1167844,1088955,1034856,1012764,1102418,1199912,1289916,1259432,1259087,1234848,1161457,1163411,1184053,1197725,1180664,1150793,1228149
 "33000","New Hampshire",1,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",3614664,3479810,3473174,3632938,3388820,3115763,2690769,2296120,2118631,2090533,2082248,2087963,1977755,1888199,1897899,1925278,1982844,2005324,2038699,2039003
 "33000","New Hampshire",1,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",5598644,5738069,6364986,6622875,6240828,6894893,7189258,6845790,6488296,7151801,7485932,7282211,7908841,7296697,8196687,8575366,8251011,8913016,8846937,8607091
 "33000","New Hampshire",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",3576831,3863193,4428035,4708451,4371305,4964568,5205344,4964606,4640862,5338245,5809630,5629603,6171560,5508446,6374139,6587434,6275077,6940111,6707693,6519706
 "33000","New Hampshire",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",2284766,2028672,2031470,1964299,1945066,1964023,2010347,1904791,1880114,1825444,1675886,1652608,1737320,1787453,1825080,1987658,1973117,1976619,2136094,2084132
 "33000","New Hampshire",1,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",3953930,4001137,4138418,4246858,4342873,4386855,4465259,4487411,3977267,4174421,4198890,4311985,4486516,4665903,5030890,4999315,5038926,5082941,5034988,5223212
 "33000","New Hampshire",1,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",6185898,6453382,6628930,6313857,6409687,6536308,6021607,6089980,6012382,6207801,5848504,5544533,5352061,5049018,4917466,5090636,5234059,5372545,5575462,5497286
 "33000","New Hampshire",1,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",983140,994689,1020611,1093299,1178773,1192856,1092979,1013917,962321,992398,1012090,985398,995626,1001024,1058434,1095205,1060200,1129206,1102539,1024721
 "33000","New Hampshire",1,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",1491518,1666898,1651177,2020234,2267561,2320883,2405640,2622624,2560809,2604931,2524359,2614282,2872051,3156234,3137552,3387846,3357265,3623049,3928780,4082763
 "33000","New Hampshire",1,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",11120104,11922486,12390704,13141659,13517702,13769315,14454185,13562439,14302274,14559045,15025551,16074042,15671284,16605472,16714077,16912736,16334138,15765869,16182879,16700153
 "33000","New Hampshire",1,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",3310761,3367260,3422586,3589481,3707575,4127832,4139352,3408549,4339842,4324559,4433655,5125869,4864328,5810377,5925670,6241174,5548904,5738238,5957016,5623136
 "33000","New Hampshire",1,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",7787714,8528480,8939451,9522200,9778982,9601497,10277960,10123351,9965943,10232016,10588593,10948173,10807914,10773957,10763944,10638933,10766374,9992858,10186966,11059264
 "33000","New Hampshire",1,CAGDP9,59,"54, 55, 56","  Professional and business services","Thousands of chained 2012 dollars",6093659,5949846,6184930,6583836,6814792,7187905,7167800,7307584,6934833,7319568,7511063,7876694,7889489,8541305,8843903,9028843,9975647,10345956,10743015,10745091
