GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "40000","Oklahoma",6,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",128891186,131293287,133417242,138096821,143471145,152857692,156219527,162386987,160091629,160564163,166327192,174874417,177698858,189359998,197071897,193025135,194255955,197358323,200710889,190893771
 "40000","Oklahoma",6,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",106157943,108004274,110111140,114604978,119130832,127804344,130508198,135896777,133287797,133272439,139167118,148394863,151309528,163137447,170692917,166528462,167439639,170362497,173296537,162527307
 "40000","Oklahoma",6,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",2281423,2892579,2710319,3205965,3596425,2980564,2322011,2497721,2105411,2829485,2784305,3042307,2950422,3596053,3897681,3634002,3806075,3939797,3560423,3931296
 "40000","Oklahoma",6,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",12004623,13171286,12879600,14328443,15268827,18287850,20000827,20503525,24099819,21870022,23115177,24857815,27345257,33911500,42014202,42607611,42840826,41751300,45114925,36813792
 "40000","Oklahoma",6,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",2911843,2789727,2848739,2908089,2786288,2951986,3160730,3411115,2974734,3444739,3745140,4152444,3939897,3993434,3678442,3781636,3559579,3485931,3856927,3555728
 "40000","Oklahoma",6,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",6474952,6084210,6038584,5967794,5917446,5875462,5670088,5839724,5857134,6219095,6355195,6697221,6738958,6353492,6165521,5792212,5547855,5550563,5605633,5285342
 "40000","Oklahoma",6,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",14988573,14071404,15503757,15681268,16535705,18913917,18318092,21523876,17365340,15748377,16834208,17816131,17103118,18002071,17689926,15853609,17055583,18722562,19113536,17397062
 "40000","Oklahoma",6,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",8047058,7477416,7689634,8128961,8781971,9531862,10040133,10898172,8314143,8474000,9589751,9812294,10105966,10318772,9442912,8693560,9386055,10797963,10662298,9159038
 "40000","Oklahoma",6,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",6936102,6631229,8143151,7713457,7830607,9634454,8320122,10878966,9405940,7332572,7237762,8003837,6969404,7683099,8339783,7193416,7696268,7865641,8458044,8414200
 "40000","Oklahoma",6,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",6890150,7211952,7286627,7720093,7931795,8537088,8844367,9059896,7785880,8156073,8960729,10022971,10176129,10447307,10103910,9294588,9055511,9074415,8793232,8415426
 "40000","Oklahoma",6,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",8403208,8683674,9007993,8877190,9207857,9662020,9421658,9292182,9310195,9656730,9750914,10096618,10311874,10366869,10440038,10387654,10416812,10750449,11072505,11177120
