GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "41000","Oregon",8,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",136166117,138932534,144802802,152001094,158163433,166107196,168975134,173598450,165527217,169234019,173831737,174610955,175933798,181220579,189946540,198079311,205744760,215208831,219458180,212849691
 "41000","Oregon",8,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",112794370,115497165,121452674,128715093,134855180,142051506,144978105,149110373,140990526,144697118,148756638,150395023,152167622,157155770,165481395,173176075,180075233,188999192,192850046,186571685
 "41000","Oregon",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",3881465,4291870,4594940,4509517,4845667,5523983,4215166,4125081,4362035,3776712,3513425,3661526,3835665,4112967,4705859,5304253,4654618,5180120,5015794,5750311
 "41000","Oregon",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",477814,508393,528586,557598,529072,507597,575820,390381,353990,270207,234457,200314,213360,224134,228389,310292,320484,330171,313889,308157
 "41000","Oregon",8,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",1950071,2052636,1916274,2101238,1828785,1953800,1853105,2371869,2065970,2566991,3163091,3016307,2830990,2549065,2373416,2700213,2694657,2458103,2630647,2787670
 "41000","Oregon",8,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",8715637,8044670,7811108,8174511,8557010,9069372,9145645,8270980,6574084,5652509,5522873,6089362,6286804,6452565,6598991,7219906,7803575,8385634,8575118,8527231
 "41000","Oregon",8,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",12660689,14078302,16322833,19503653,20086225,22272724,23224502,25180483,23660830,25466806,28038501,26783712,27352430,27774692,29394406,30166674,31190070,33574563,33437764,32694388
 "41000","Oregon",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",8596011,9661869,11887516,14334719,14751589,16511554,17458907,19822458,17975872,20256346,22916086,22108862,22212848,22525621,23820380,24762682,25381882,27385151,27213475,26583419
 "41000","Oregon",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",5100418,5449574,4939763,5652206,5841804,6215974,6101787,5351717,5823977,5256333,5128673,4674849,5137068,5245870,5569518,5428105,5811463,6198209,6227954,6112037
 "41000","Oregon",8,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",9903366,10096576,10821713,11690216,12279827,12593473,13045965,12983416,11151968,11606981,11509406,11947664,10408905,10647753,11143224,11391979,11638958,11836107,11835771,11812031
 "41000","Oregon",8,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",8862449,9199059,9575166,9703350,9980198,10336948,10077899,9497289,8998462,9148602,8945296,9074832,9372805,9554306,10100313,10641509,11354232,11885268,12263312,11959479
 "41000","Oregon",8,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",4379315,4280652,4504202,4948946,5256827,5360300,5287365,5144689,4697874,4930592,4875117,5033371,4978171,5134990,5214478,5387296,5682476,5833275,5961247,5322312
 "41000","Oregon",8,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",3916326,3953371,4115364,4591798,4851529,5182671,5827702,6244883,6073112,6346409,6470081,6351963,6630369,6840185,7545469,7920713,8945117,9876637,10271584,10721155
 "41000","Oregon",8,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",26782309,26345049,26420915,25680222,28316444,28771152,30159279,31821432,32006864,32804122,32861747,32808303,32451329,33518452,34628801,36402020,37268381,38432652,39185798,38424000
 "41000","Oregon",8,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",6400107,6710781,6717250,6483479,6911583,7251082,7287335,6527716,7939527,7403780,7582313,7882218,6977600,7879935,8312463,8809814,8222624,8361049,8408033,8400323
 "41000","Oregon",8,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",20328142,19576673,19646176,19143057,21358002,21459543,22827750,25292480,24100665,25393906,25276548,24926084,25481719,25622154,26290818,27561343,29071126,30110331,30831438,30058349
 "41000","Oregon",8,CAGDP9,59,"54, 55, 56","  Professional and business services","Thousands of chained 2012 dollars",14739931,14550163,14881521,14936234,15531667,16097423,16608941,17396825,16142852,16599773,17145229,17951979,20245261,21676657,23249540,24262026,25885929,27717143,29229989,29259526
 "41000","Oregon",8,CAGDP9,60,"54","   Professional, scientific, and technical services","Thousands of chained 2012 dollars",7311979,7184356,7221964,7472982,7509049,7761031,8115255,8830640,8352290,8607792,9101151,9520064,9808908,10386086,11040379,11808726,12580453,13656927,14164628,13765694
 "41000","Oregon",8,CAGDP9,64,"55","   Management of companies and enterprises","Thousands of chained 2012 dollars",4049661,3769823,3898017,3580164,3655092,3735427,3686626,3764574,3423583,3468005,3488228,3625854,5558527,6174598,6959239,7143385,7681792,8168449,9014814,9826574
 "41000","Oregon",8,CAGDP9,65,"56","   Administrative and support and waste management and remediation services","Thousands of chained 2012 dollars",3544773,3688709,3858229,3917006,4378083,4604386,4801966,4798432,4365520,4522440,4555834,4806061,4883091,5127200,5278619,5342130,5663381,5937724,6147749,5889353
 "41000","Oregon",8,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance","Thousands of chained 2012 dollars",11543295,12058954,12856360,13486595,13808755,14798821,14967738,16056924,16005126,16183617,16467158,16974630,17200217,17613313,18757992,19552912,20054622,20538132,21193193,20167580
 "41000","Oregon",8,CAGDP9,69,"61","   Educational services","Thousands of chained 2012 dollars",1328408,1321296,1412563,1562576,1541263,1613116,1580241,1695809,1816286,1862717,1875826,1962227,1924235,1883116,1860004,1892146,1785704,1813762,1832565,1582830
 "41000","Oregon",8,CAGDP9,70,"62","   Health care and social assistance","Thousands of chained 2012 dollars",10220698,10734418,11440841,11929857,12268158,13183788,13382673,14355966,14188237,14321129,14591114,15012403,15276637,15733488,16908030,17673690,18291564,18748633,19388747,18624977
 "41000","Oregon",8,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of chained 2012 dollars",5368052,5528760,5571422,5791281,5894473,6112537,6221986,5742963,5385898,5633267,6213669,6619261,6539380,7120735,7631394,7951494,8453259,8871197,8801815,6008339
 "41000","Oregon",8,CAGDP9,76,"71","   Arts, entertainment, and recreation","Thousands of chained 2012 dollars",1109178,1168323,1154749,1160148,1167847,1199610,1258032,1043555,1004049,1059826,1374363,1533722,1540231,1629777,1646382,1746916,1855890,1967879,1974099,1217911
 "41000","Oregon",8,CAGDP9,79,"72","   Accommodation and food services","Thousands of chained 2012 dollars",4254438,4354462,4412018,4629245,4725688,4912820,4961206,4703645,4384998,4576593,4839835,5085539,4999319,5490384,5982111,6202524,6595134,6902069,6827882,4781017
 "41000","Oregon",8,CAGDP9,82,"81","  Other services (except government and government enterprises)","Thousands of chained 2012 dollars",4092603,4057910,4090657,4433610,4600327,4679813,4550824,4257585,3903824,3826295,3769706,3881797,3835618,3968144,4076434,4170772,4215401,4422444,4457621,3956752
 "41000","Oregon",8,CAGDP9,83,"...","Government and government enterprises","Thousands of chained 2012 dollars",24079108,24050946,23755759,23488083,23377388,24075243,23970608,24449270,24548654,24538446,25076015,24215932,23771863,24080985,24511607,24979514,25757933,26337305,26746006,26377416
 "41000","Oregon",8,CAGDP9,87,"11, 21","Natural resources and mining","Thousands of chained 2012 dollars",4343773,4792638,5122512,5048720,5378552,6050924,4780689,4526018,4724584,4049157,3748589,3861841,4048844,4337378,4936805,5616058,4978241,5511286,5329918,6050247
