GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "42000","Pennsylvania",2,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",547260884,555055949,568242429,584328322,594855081,597219244,617309871,629807875,610147940,627726306,637114019,647925864,655929175,669643138,682466094,688359359,694236462,703945979,716173363,683773852
 "42000","Pennsylvania",2,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",481421760,487975309,500182781,515130389,525687631,528177151,547775300,559857892,540853958,558683121,569694723,582114350,589816992,604657601,617911647,623398117,629824667,639668029,651860949,620760454
 "42000","Pennsylvania",2,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",3804871,3422588,3947921,4246023,4640880,4741012,3953742,3738380,3905235,3952285,3698677,3734028,4030464,4794472,4465034,4122524,4658547,4333233,4451624,4656249
 "42000","Pennsylvania",2,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",5466027,5118769,5191953,5105464,5234572,5460724,6248287,6275151,7771541,8807950,10486220,11941000,11322150,15090054,16828363,15131557,15357053,14665383,16070731,15711493
 "42000","Pennsylvania",2,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",10962167,11072346,10441102,10465429,9808081,9848936,10371896,10526591,10026348,11342809,11966656,11773861,11429522,10918366,11181607,11813640,11324478,10950764,10811098,11184290
 "42000","Pennsylvania",2,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",28875654,28298492,28122789,27094755,26127674,25506753,24890557,24007727,20393499,22128850,23183577,23150714,22979354,22892231,23036489,22834326,23274927,23452902,23422906,21725610
 "42000","Pennsylvania",2,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",89942158,90602579,89803079,86719413,84515398,86469045,87166805,85652444,77521018,77902006,76584529,75680157,79891226,85052965,83863001,83236739,85899813,85405009,89920379,90350716
 "42000","Pennsylvania",2,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",34836010,33669886,33877240,36327895,37883119,40140607,39630727,41426891,35660599,37504340,40660150,40518214,42562287,41247876,41398370,39662417,42863243,43222408,44062447,41485600
 "42000","Pennsylvania",2,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",57706629,60029819,58836899,52091260,47538331,46858219,48307429,44376715,42284562,40658990,35933499,35161943,37328210,43781974,42447389,43544161,43024534,42186785,45829731,48819186
 "42000","Pennsylvania",2,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",32017029,32985324,35445014,37240327,38599942,39403666,39851826,39749709,35423565,37839381,38775423,39438249,39801670,40979487,41846793,40332410,40501518,40312172,39373102,38254754
