GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "44000","Rhode Island",1,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",45749778,47224538,48571146,50513783,51369693,52899551,51469077,50575168,50004342,51332792,51279628,51583009,51910850,52293380,52819094,52902634,52608786,52493838,53225004,51415140
 "44000","Rhode Island",1,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",38233238,39638433,40821929,42549049,43357370,44867117,43492679,42738146,42612786,43905757,43844390,44289877,44799042,45305375,45880295,45945365,45395647,45338749,45984288,44283993
 "44000","Rhode Island",1,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",175490,178985,173184,151453,148445,163218,121288,135634,143968,137299,117283,106146,99951,98964,119810,123340,125658,120470,118564,121863
 "44000","Rhode Island",1,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",47887,60140,58095,69350,52953,44753,46254,47654,45898,28153,18489,24364,20945,50868,72646,69650,70243,54796,52555,46624
 "44000","Rhode Island",1,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",684264,569586,603158,636952,607510,679275,660448,731141,687504,763651,750184,749730,762432,740267,769003,797411,795797,810870,819600,864901
 "44000","Rhode Island",1,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",2734628,2664460,2907444,2943460,2922364,2824482,2667050,2344528,2112612,2034630,1926107,1955966,1810173,1698083,1652323,1662617,1639300,1729608,1769013,1709274
 "44000","Rhode Island",1,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",4576099,4864797,4488411,5004873,4525827,5123098,4496401,4495759,3982800,4183382,4085522,4024304,4393104,4235487,4637455,4664180,4542379,4592464,4283376,4134306
 "44000","Rhode Island",1,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",2988400,3159835,2816375,3323816,3020871,3130673,2995673,3030951,2646515,2762025,2731452,2663313,2829233,2643476,2945725,3145021,2896445,3000894,2933956,2753869
 "44000","Rhode Island",1,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",1605670,1729534,1725450,1684363,1503361,2070972,1503454,1458987,1336256,1422855,1353502,1360991,1563331,1590087,1691351,1528398,1645017,1595563,1362037,1388235
 "44000","Rhode Island",1,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",2451566,2582804,2734817,2745327,2803465,2770099,2829749,2770689,2547749,2782970,2821191,2971503,3052570,3115185,3249216,3115148,3074403,3026337,2984464,2906860
