GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "53000","Washington",8,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",303673768,307583157,312556361,319848895,340427957,353263484,373180589,381289932,370136625,380989464,387745206,400530582,410873880,424467606,441952096,458263781,482824072,515629948,535980514,532861932
 "53000","Washington",8,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",255203803,257891275,262265171,269246618,288399528,299521075,319094409,324837396,313195765,323721698,331016904,342770007,353793261,367119657,384673938,398812180,421957178,453931195,473402162,470820568
 "53000","Washington",8,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",5299588,6026309,6775659,6542362,6956410,7801423,7396868,6964109,7841760,7330440,7158705,7298671,7047198,7297692,9194186,9542679,9013410,9764162,9488850,11963565
 "53000","Washington",8,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",800864,765731,896773,784849,1093714,1317997,1107590,655928,620718,579102,491336,375623,429747,505130,511590,578463,623128,693359,561697,401576
 "53000","Washington",8,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",3432260,3401005,3488519,3679487,3418066,3642131,3415886,3555501,3312074,3648623,3875010,4038703,3939967,3737410,3721025,3989139,4055234,3900959,3964701,4174899
 "53000","Washington",8,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",16737674,15680648,15911574,16460818,17332303,17856559,19358744,18001391,14018043,12605914,11661646,12539504,13870243,14519270,15277072,16557772,17774196,19249939,19217485,18535284
 "53000","Washington",8,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",39060914,38835479,35870446,36120724,44746977,47450753,53193544,50783237,51489997,55021410,55383571,57780519,59438334,61029864,64361298,57454914,56876644,58897756,60084373,53422486
 "53000","Washington",8,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",27255545,24970564,23437143,24202069,29177702,33543675,38200439,37527948,37367086,41073675,43840503,47415720,48291308,49820476,51328056,44295449,43645562,44954524,44860100,38820461
 "53000","Washington",8,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",12336712,15637775,13850505,12997015,17319704,14731025,15706938,13601794,14688773,14229479,11582195,10364799,11158678,11207348,13117756,13433868,13533711,14276968,15652201,15191378
 "53000","Washington",8,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",18530410,18421422,19402536,20499913,21320082,22000120,22743727,23116934,20411672,21630710,22172529,22787399,23189712,23999584,25103508,25146163,25826591,26579388,26968700,26645728
 "53000","Washington",8,CAGDP9,35,"44-45","  Retail trade","Thousands of chained 2012 dollars",20733837,21517970,22715194,23409649,24650558,25470519,25405121,24920226,23563429,24710699,25452169,26340314,28208607,30144860,32843165,37261528,42992689,46925542,50106815,53154498
 "53000","Washington",8,CAGDP9,36,"48-49","  Transportation and warehousing","Thousands of chained 2012 dollars",8782702,8516055,8783908,9646217,10151136,10741412,10746336,10606037,10450589,11196298,11154916,11211657,11163255,11319754,11602475,12221598,12825064,13336230,13813122,11278933
 "53000","Washington",8,CAGDP9,45,"51","  Information","Thousands of chained 2012 dollars",21801616,22968883,24407100,24938054,26965412,27952790,33508922,35385751,34599203,34533679,37426962,40424527,43129764,47248078,50967918,58945448,67236569,79868524,91043603,106211487
 "53000","Washington",8,CAGDP9,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of chained 2012 dollars",51123061,50857045,51165051,52082694,54143094,55098462,57729544,62982335,62956503,64501442,65695477,66554733,67889933,69089029,69589257,71804331,73608845,77665462,79479434,80724542
 "53000","Washington",8,CAGDP9,51,"52","   Finance and insurance","Thousands of chained 2012 dollars",12348930,13373237,13572033,13374793,13962248,14324572,14102658,13804935,16026064,14947501,14993730,15535151,14726896,14681486,15243548,16244586,16191797,17026755,17466698,19163089
 "53000","Washington",8,CAGDP9,56,"53","   Real estate and rental and leasing","Thousands of chained 2012 dollars",38676857,37369715,37474707,38611343,40077006,40660446,43576265,49206433,47019164,49555845,50697829,51019583,53174886,54433199,54343873,55521755,57419068,60648424,62016219,61357094
 "53000","Washington",8,CAGDP9,59,"54, 55, 56","  Professional and business services","Thousands of chained 2012 dollars",30635880,31373902,32863045,33530692,34816423,35708066,38548332,40041031,37437190,40415708,41787737,43244373,44097388,45773294,47032911,48805306,51949923,56708644,59552811,58852229
 "53000","Washington",8,CAGDP9,60,"54","   Professional, scientific, and technical services","Thousands of chained 2012 dollars",18450064,18891221,19415353,20171868,21037994,21464503,23697406,25046015,23475555,24927319,25901086,26956830,27284126,28438477,28984526,30478040,32395578,36247880,37930268,37847795
 "53000","Washington",8,CAGDP9,64,"55","   Management of companies and enterprises","Thousands of chained 2012 dollars",4770498,4878381,5337492,5016517,4656668,4881711,4639770,4583019,4163140,4625200,4804371,5295620,5668725,5947601,6081622,6333791,6757658,7296407,7878397,7877395
 "53000","Washington",8,CAGDP9,65,"56","   Administrative and support and waste management and remediation services","Thousands of chained 2012 dollars",7554832,7744903,8298098,8453507,9151375,9403676,10221291,10416178,9800886,10863333,11082670,10991923,11145318,11391655,11963074,12010483,12813546,13234472,13843067,13279668
 "53000","Washington",8,CAGDP9,68,"61, 62","  Educational services, health care, and social assistance","Thousands of chained 2012 dollars",19716252,20389424,20996770,21867488,22369507,23130657,23550131,25587294,26543689,27102374,27521710,28342350,28992048,29685487,31163895,32615730,33882058,35255530,36294641,33636586
 "53000","Washington",8,CAGDP9,69,"61","   Educational services","Thousands of chained 2012 dollars",2157518,2066993,2138792,2285751,2170597,2176805,2264643,2455644,2590047,2737912,2755356,2769629,2762988,2772654,2785595,2781201,2734645,2786565,2903852,2453092
 "53000","Washington",8,CAGDP9,70,"62","   Health care and social assistance","Thousands of chained 2012 dollars",17587093,18328294,18865346,19595947,20198091,20948373,21282650,23128333,23951747,24365552,24766879,25572721,26229781,26915258,28386496,29850292,31173408,32500356,33420221,31231525
 "53000","Washington",8,CAGDP9,75,"71, 72","  Arts, entertainment, recreation, accommodation, and food services","Thousands of chained 2012 dollars",10898377,10997950,11310214,12001974,12668256,13858611,14188743,13752321,12177524,12709511,13267479,13672202,14252685,14685360,15468687,16220280,17675511,18344683,17658557,12152952
 "53000","Washington",8,CAGDP9,76,"71","   Arts, entertainment, and recreation","Thousands of chained 2012 dollars",2331768,2372856,2415168,2646289,2945900,3290935,3448415,3599510,3304186,3288515,3369249,3445497,3610937,3622767,3341225,3436720,3775883,4211942,4198003,2648527
 "53000","Washington",8,CAGDP9,79,"72","   Accommodation and food services","Thousands of chained 2012 dollars",8599746,8657428,8929839,9386581,9744038,10586659,10754644,10153426,8870320,9419996,9898036,10226705,10641881,11061148,12114973,12768373,13884389,14133287,13470621,9494699
 "53000","Washington",8,CAGDP9,82,"81","  Other services (except government and government enterprises)","Thousands of chained 2012 dollars",8650507,8825362,8423377,8474370,8605431,8629131,8687787,8438977,7977754,7857851,7983285,8159431,8156008,8189200,8298531,8494470,8865868,9360797,9484897,8321666
 "53000","Washington",8,CAGDP9,83,"...","Government and government enterprises","Thousands of chained 2012 dollars",48660977,49966882,50547691,50786504,52089108,53789789,54005800,56408123,56933496,57258928,56726869,57760575,57094991,57394922,57404805,59580522,61079031,62100968,63095595,62568200
 "53000","Washington",8,CAGDP9,87,"11, 21","Natural resources and mining","Thousands of chained 2012 dollars",6065061,6817253,7685378,7374866,8019070,9071983,8475701,7634603,8472677,7918878,7652221,7674294,7473328,7793116,9702046,10117479,9638627,10462076,10036803,12285006
 "53000","Washington",8,CAGDP9,88,"42, 44-45","Trade","Thousands of chained 2012 dollars",39256164,39976358,42159301,43925387,45999185,47501215,48151349,48012463,43975692,46341494,47624816,49127714,51396051,54139230,57938095,62380353,68735058,73358111,76841416,79464487
 "53000","Washington",8,CAGDP9,89,"22, 48-49","Transportation and utilities","Thousands of chained 2012 dollars",12219029,11921599,12277331,13329818,13560424,14375931,14137092,14146803,13732188,14823115,15025601,15250360,15102934,15050764,15315086,16200046,16874354,17241147,17784478,15443962
 "53000","Washington",8,CAGDP9,90,"31-33, 51","Manufacturing and information","Thousands of chained 2012 dollars",60372693,61494041,60419872,61244966,71551766,75185046,86596179,86279824,86129181,89496843,92802165,98205045,102566077,108255774,115278999,115864586,123159072,137103859,148709515,155607112
 "53000","Washington",8,CAGDP9,91,"...","Private goods-producing industries 2/","Thousands of chained 2012 dollars",62265502,61709002,59384370,59882802,70282385,74444652,81341385,76726965,73890618,75531462,74698077,77994317,80788045,83357121,89176990,84007823,84475472,88821070,89647886,83858351
 "53000","Washington",8,CAGDP9,92,"...","Private services-providing industries 3/","Thousands of chained 2012 dollars",193223342,196359656,202757294,209156897,218264124,225293092,238055389,248192604,239379770,248228887,256316995,264775690,273005184,283762793,295495392,314685535,337280480,364881313,383498734,386603526
 "53001","Adams, WA",8,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",479870,605272,597760,581497,664552,703825,850911,850245,819289,825275,800279,813458,845135,812003,920872,825331,762229,878912,923667,979179
