GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "56000","Wyoming",7,CAGDP9,1,"...","All industry total","Thousands of chained 2012 dollars",29130455,29777067,30673162,31695675,33483999,37813438,40632249,42868194,41546415,40056635,39767916,38855405,38849583,39559433,40418154,38188706,37429098,37987910,38628445,36256668
 "56000","Wyoming",7,CAGDP9,2,"..."," Private industries","Thousands of chained 2012 dollars",24890341,25370161,26094936,27078212,28827654,33039442,35540316,37527583,36153883,34630004,34352900,33318744,33172732,33899045,34842412,32603785,31782661,32442038,33164669,30805807
 "56000","Wyoming",7,CAGDP9,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of chained 2012 dollars",630815,512386,636293,576942,644380,677255,440539,544494,690258,705793,816526,561194,696270,799663,890957,950610,866372,959645,972510,1108043
 "56000","Wyoming",7,CAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of chained 2012 dollars",8638521,8949753,9169252,9698712,10614899,13177766,13661578,13881408,14788503,12800333,12229643,10195663,10249669,10538491,10619461,9473650,8989753,8587166,8781737,7922630
 "56000","Wyoming",7,CAGDP9,10,"22","  Utilities","Thousands of chained 2012 dollars",590818,636935,629325,658347,633403,670956,711865,767209,763676,879083,917957,964522,957458,885356,900405,981287,944272,889264,885376,895279
 "56000","Wyoming",7,CAGDP9,11,"23","  Construction","Thousands of chained 2012 dollars",1842314,1837234,1780072,1657099,1696942,1889695,2125241,2333170,2033450,2020252,1890919,2037078,2025788,2077562,1912598,1678990,1499293,1524662,1723427,1534381
 "56000","Wyoming",7,CAGDP9,12,"31-33","  Manufacturing","Thousands of chained 2012 dollars",2468454,1812085,2069576,2251908,2212712,2559996,3670069,4544663,2276048,2271288,2218107,2512731,2035717,1879817,2580569,2130460,2449324,2732880,3361162,3360476
 "56000","Wyoming",7,CAGDP9,13,"321,327-339","   Durable goods manufacturing","Thousands of chained 2012 dollars",283878,283405,285318,322981,334856,345808,388295,434376,377872,385376,429636,445196,419124,442815,459842,396373,446581,451189,491381,474023
 "56000","Wyoming",7,CAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of chained 2012 dollars",2328303,1556786,1854381,1994254,1930436,2293930,3432623,4311579,1913849,1897188,1787627,2067535,1612642,1424548,2135828,1740438,2013953,2307191,2919385,2946014
 "56000","Wyoming",7,CAGDP9,34,"42","  Wholesale trade","Thousands of chained 2012 dollars",990940,1030245,1074527,1129893,1196597,1346669,1450829,1559738,1322868,1383268,1410339,1569177,1626114,1764429,1655939,1458038,1363683,1348389,1322998,1203099
