"Table 1. Per Capita Personal Income, by County, 2018–2020",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in state,Percent change,,Rank in state
,2018,2019,2020,2020,2019,2020,2020
United States,"54,098","56,047","59,510",--,3.6,6.2,--
,,,,,,,
Alabama,"42,328","43,996","46,479",--,3.9,5.6,--
Autauga,"42,931","44,368","46,814",9,3.3,5.5,50
Baldwin,"46,905","48,270","50,953",4,2.9,5.6,48
Barbour,"34,064","35,572","37,850",49,4.4,6.4,35
Bibb,"30,250","31,540","34,300",66,4.3,8.8,14
Blount,"35,905","36,969","38,808",36,3.0,5.0,59
Bullock,"26,841","28,136","31,944",67,4.8,13.5,1
Butler,"35,932","38,073","39,988",34,6.0,5.0,56
Calhoun,"36,482","37,708","40,195",30,3.4,6.6,32
Chambers,"34,055","36,110","38,508",38,6.0,6.6,31
Cherokee,"35,647","36,381","37,869",48,2.1,4.1,62
Chilton,"34,982","36,471","38,778",37,4.3,6.3,37
Choctaw,"38,200","39,097","42,231",22,2.3,8.0,20
Clarke,"35,437","37,061","40,822",26,4.6,10.1,8
Clay,"33,131","34,185","37,179",53,3.2,8.8,13
Cleburne,"35,668","35,905","37,734",51,0.7,5.1,54
Coffee,"42,176","43,319","45,262",11,2.7,4.5,60
Colbert,"37,601","38,860","41,941",23,3.3,7.9,21
Conecuh,"32,588","33,596","36,908",56,3.1,9.9,10
Coosa,"31,344","32,548","34,683",65,3.8,6.6,34
Covington,"35,487","35,927","37,930",47,1.2,5.6,47
Crenshaw,"36,283","36,783","38,161",44,1.4,3.7,64
Cullman,"39,525","41,211","42,659",20,4.3,3.5,65
Dale,"36,497","37,831","40,111",31,3.7,6.0,41
Dallas,"34,915","37,033","41,195",24,6.1,11.2,4
DeKalb,"32,196","33,427","35,100",64,3.8,5.0,58
Elmore,"42,956","44,561","47,270",7,3.7,6.1,40
Escambia,"32,445","34,338","37,137",55,5.8,8.2,17
Etowah,"36,583","37,700","39,852",35,3.1,5.7,45
Fayette,"34,231","35,856","38,001",46,4.7,6.0,43
Franklin,"33,951","34,831","37,362",52,2.6,7.3,25
Geneva,"34,708","36,455","38,358",40,5.0,5.2,53
Greene,"30,762","32,534","35,992",61,5.8,10.6,6
Hale,"35,615","37,825","41,190",25,6.2,8.9,11
Henry,"42,010","43,738","45,409",10,4.1,3.8,63
Houston,"42,611","44,300","47,072",8,4.0,6.3,39
Jackson,"36,672","38,002","40,089",32,3.6,5.5,51
Jefferson,"54,777","56,599","58,424",2,3.3,3.2,66
Lamar,"33,022","34,549","37,161",54,4.6,7.6,23
Lauderdale,"36,712","38,135","40,729",27,3.9,6.8,29
Lawrence,"33,900","35,414","38,098",45,4.5,7.6,22
Lee,"38,184","40,439","42,468",21,5.9,5.0,57
Limestone,"43,495","44,841","47,695",6,3.1,6.4,36
Lowndes,"39,544","41,449","44,921",13,4.8,8.4,16
Macon,"32,321","34,213","37,834",50,5.9,10.6,7
Madison,"51,759","54,169","57,128",3,4.7,5.5,52
Marengo,"39,217","40,297","43,854",16,2.8,8.8,12
Marion,"32,459","33,433","36,330",59,3.0,8.7,15
Marshall,"35,990","37,913","40,045",33,5.3,5.6,46
Mobile,"38,195","40,003","42,823",19,4.7,7.0,28
Monroe,"32,808","34,489","38,192",43,5.1,10.7,5
Montgomery,"43,442","44,597","47,776",5,2.7,7.1,27
Morgan,"39,908","41,895","44,679",14,5.0,6.6,30
Perry,"30,795","32,198","36,217",60,4.6,12.5,3
Pickens,"32,981","34,590","36,861",57,4.9,6.6,33
Pike,"36,785","38,057","40,342",29,3.5,6.0,42
Randolph,"32,974","33,708","35,208",63,2.2,4.4,61
Russell,"32,270","33,796","36,526",58,4.7,8.1,19
St. Clair,"39,658","41,015","43,279",17,3.4,5.5,49
Shelby,"55,482","57,793","59,588",1,4.2,3.1,67
Sumter,"30,492","32,057","35,310",62,5.1,10.1,9
Talladega,"34,277","35,717","38,300",41,4.2,7.2,26
Tallapoosa,"40,576","42,544","45,058",12,4.9,5.9,44
Tuscaloosa,"39,062","40,329","42,868",18,3.2,6.3,38
Walker,"40,267","41,976","44,095",15,4.2,5.0,55
Washington,"36,196","37,568","40,371",28,3.8,7.5,24
Wilcox,"32,406","33,957","38,273",42,4.8,12.7,2
Winston,"34,143","35,508","38,382",39,4.0,8.1,18
,,,,,,,
Alaska,"59,871","61,742","63,502",--,3.1,2.9,--
Aleutians East Borough,"56,806","61,132","59,574",20,7.6,-2.5,25
Aleutians West Census Area,"55,124","56,296","59,674",19,2.1,6.0,2
Anchorage Municipality,"66,928","68,803","70,477",8,2.8,2.4,15
Bethel Census Area,"44,902","45,653","47,936",29,1.7,5.0,7
Bristol Bay Borough,"141,017","145,276","152,678",1,3.0,5.1,6
Chugach Census Area2,(NA),(NA),"69,369",9,(NA),(NA),--
Copper River Census Area2,(NA),(NA),"49,783",26,(NA),(NA),--
Denali Borough,"85,673","82,610","72,967",4,-3.6,-11.7,27
Dillingham Census Area,"58,932","60,868","60,792",18,3.3,-0.1,19
Fairbanks North Star Borough,"56,888","59,194","62,254",17,4.1,5.2,5
Haines Borough,"70,233","70,724","64,956",13,0.7,-8.2,26
Hoonah-Angoon Census Area,"62,813","65,367","64,708",14,4.1,-1.0,23
Juneau City and Borough,"70,052","72,294","74,162",3,3.2,2.6,14
Kenai Peninsula Borough,"51,975","54,026","56,139",21,3.9,3.9,12
Ketchikan Gateway Borough,"67,666","70,362","70,574",7,4.0,0.3,18
Kodiak Island Borough,"60,618","64,144","66,988",10,5.8,4.4,9
Kusilvak Census Area,"30,395","31,422","33,968",30,3.4,8.1,1
Lake and Peninsula Borough,"65,917","63,985","63,397",16,-2.9,-0.9,22
Matanuska-Susitna Borough,"47,076","48,327","50,386",25,2.7,4.3,10
Nome Census Area,"51,351","53,521","55,950",22,4.2,4.5,8
North Slope Borough,"86,784","92,708","90,809",2,6.8,-2.0,24
Northwest Arctic Borough,"49,001","50,341","52,440",24,2.7,4.2,11
Petersburg Borough,"69,705","71,111","72,412",5,2.0,1.8,16
Prince of Wales-Hyder Census Area,"45,167","47,601","48,970",27,5.4,2.9,13
Sitka City and Borough,"69,656","71,462","70,996",6,2.6,-0.7,21
Skagway Municipality,"79,939","81,135","66,548",11,1.5,-18.0,28
Southeast Fairbanks Census Area,"50,669","51,992","54,808",23,2.6,5.4,4
Valdez-Cordova Census Area2,"60,348","62,267",(NA),--,3.2,(NA),--
Wrangell City and Borough,"48,680","48,610","48,549",28,-0.1,-0.1,20
Yakutat City and Borough,"58,780","65,736","66,119",12,11.8,0.6,17
Yukon-Koyukuk Census Area,"56,847","60,189","63,675",15,5.9,5.8,3
,,,,,,,
Arizona,"44,071","45,808","49,648",--,3.9,8.4,--
Apache,"33,324","33,844","38,915",11,1.6,15.0,2
Cochise,"38,892","40,546","45,786",4,4.3,12.9,5
Coconino,"48,416","48,837","53,036",2,0.9,8.6,10
Gila,"38,892","39,720","44,201",6,2.1,11.3,7
Graham,"30,540","31,179","35,072",15,2.1,12.5,6
Greenlee,"39,794","41,082","44,050",7,3.2,7.2,14
La Paz,"32,456","34,387","39,482",10,5.9,14.8,3
Maricopa,"47,606","49,663","53,521",1,4.3,7.8,13
Mohave,"33,083","34,274","36,529",12,3.6,6.6,15
Navajo,"31,400","32,007","36,169",13,1.9,13.0,4
Pima,"43,103","44,649","48,373",3,3.6,8.3,11
Pinal,"31,679","32,699","35,949",14,3.2,9.9,9
